Word: A - Counted: 13 times

Word: ABOUT - Counted: 4 times

Word: ACROSS - Counted: 1 time

Word: ADVENTURES - Counted: 1 time

Word: AFRAID - Counted: 1 time

Word: AGAINST - Counted: 1 time

Word: AGREED - Counted: 1 time

Word: ALIEN - Counted: 2 times

Word: ALSO - Counted: 1 time

Word: ALWAYS - Counted: 1 time

Word: AMAZEMENT - Counted: 1 time

Word: AN - Counted: 2 times

Word: AND - Counted: 13 times

Word: ANYTIME - Counted: 1 time

Word: APPROACHED - Counted: 1 time

Word: AROUND - Counted: 1 time

Word: ARRIVED - Counted: 1 time

Word: AS - Counted: 2 times

Word: AT - Counted: 2 times

Word: ATTACK - Counted: 1 time

Word: AWAY - Counted: 1 time

Word: BACK - Counted: 1 time

Word: BATTLE - Counted: 1 time

Word: BECAME - Counted: 1 time

Word: BEEN - Counted: 1 time

Word: BEHIND - Counted: 1 time

Word: BOY - Counted: 1 time

Word: BUT - Counted: 2 times

Word: BY - Counted: 2 times

Word: CALLED - Counted: 1 time

Word: CAME - Counted: 1 time

Word: COMMUNICATE - Counted: 1 time

Word: COULD - Counted: 1 time

Word: CRASH - Counted: 2 times

Word: CREATURES - Counted: 1 time

Word: CRYSTAL - Counted: 1 time

Word: CURIOUS - Counted: 1 time

Word: DAY - Counted: 2 times

Word: DEFEAT - Counted: 1 time

Word: DEMEANOR - Counted: 1 time

Word: DIDN - Counted: 1 time

Word: DISTRESS - Counted: 1 time

Word: DURING - Counted: 1 time

Word: EAGERLY - Counted: 1 time

Word: EASE - Counted: 1 time

Word: ENABLE - Counted: 1 time

Word: EVIL - Counted: 1 time

Word: EXCITED - Counted: 1 time

Word: EXCITING - Counted: 1 time

Word: FAR - Counted: 3 times

Word: FASCINATED - Counted: 2 times

Word: FEW - Counted: 1 time

Word: FIERCE - Counted: 1 time

Word: FIGHTING - Counted: 1 time

